catalognumber,eventdate,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,decimallatitude,decimallongitude,scientificname,order,family,genus,specificepithet,hasmedia,hastissue,wascaptive,isfossil,vntype,haslength
109661,4/11/85,101,101,1985,4,11,11-Apr-85,-7.771,140.27,Pachycephalopsis poliosoma,Passeriformes,Petroicidae,Pachycephalopsis,poliosoma,0,0,0,1,specimen,0
49394,1875-07-17,198,198,1875,7,17,18750717,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
50035,12/7/02,341,341,1902,12,7,19021207,-5.350129,140.914065,Parotia carolae carolae?,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,carolae,0,0,0,0,specimen,0
55176,1875-03-26,85,85,1875,3,26,18750326,-5.350129,140.914065,Myiagra alecto ssp?,Passeriformes,Muscicapidae Monarchinae,Myiagra,alecto,0,0,0,0,specimen,0
56733,1875-02-27,58,58,1875,2,27,18750227,-5.350129,140.914065,Toxorhamphus novaeguineae noveguineae,Passeriformes,Meliphagidae,Toxorhamphus,novaeguineae,0,0,0,0,specimen,0
49399,1875-05-07,127,127,1875,5,7,18750507,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
49914,10/1/05,274,274,1905,10,1,19051001,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
500004,4/3/03,93,93,1903,4,3,19030403,-5.350129,140.914065,Casuarius sp?,Struthioniformes,Casuariidae,Casuarius,sp?,0,0,0,0,specimen,0
53627,10/6/10,279,279,1910,10,6,19101006,-5.350129,140.914065,Ptilorrhoa castanonota uropygialis?,Passeriformes,Muscicapidae Orthonychinae,Ptilorrhoa,castanonota,0,0,0,0,specimen,0
54851,1875-05-20,140,140,1875,5,20,18750520,-5.350129,140.914065,Peneoenanthe pulverulenta pulverulenta,Passeriformes,Muscicapidae Eopsaltriinae,Peneoenanthe,pulverulenta,0,0,0,0,specimen,0
33.9.1.756,1910-01,,,1910,1,,19100100,-5.350129,140.914065,Parotia lawesii lawesii,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
40079,1888-06,,,1888,6,,18880600,-5.350129,140.914065,Ptilinopus pulchellus,Columbiformes,Columbidae,Ptilinopus,pulchellus,0,0,0,0,specimen,0
49913,1908-06,,,1908,6,,19080600,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
50072,1916-05,,,1916,5,,19160500,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
44661,1872-08,,,1872,8,,18720800,-5.350129,140.914065,Aceros plicatus ruficollis,Coraciiformes,Bucerotidae,Aceros,plicatus,0,0,0,0,specimen,0
49984,1902-01,,,1902,1,,19020100,-5.350129,140.914065,Epimachus meyeri meyeri,Passeriformes,Paradisaeidae Paradisaeinae,Epimachus,meyeri,0,0,0,0,specimen,0
49986,1903-08,,,1903,8,,19030800,-5.350129,140.914065,Epimachus meyeri meyeri,Passeriformes,Paradisaeidae Paradisaeinae,Epimachus,meyeri,0,0,0,0,specimen,0
50023,1895-10,,,1895,10,,18951000,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
50042,1908-06,,,1908,6,,19080600,-5.350129,140.914065,Parotia lawesii ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
50071,1916-05,,,1916,5,,19160500,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
50103,1908-06,,,1908,6,,19080600,-5.350129,140.914065,Diphyllodes magnificus hunsteini,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
156592,1920,,,1920,,,19200000,-5.350129,140.914065,Paradisaea raggiana salvadorii,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
44296,1920,,,1920,,,19200000,-5.350129,140.914065,Paradisaea apoda novaeguineae,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,apoda,0,0,0,0,specimen,0
49396,1879,,,1879,,,18790000,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
49397,1879,,,1879,,,18790000,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
49865,1861,,,1861,,,18610000,-5.350129,140.914065,Manucodia ater ater?,Passeriformes,Paradisaeidae Paradisaeinae,Manucodia,ater,0,0,0,0,specimen,0
50024,1897,,,1897,,,18970000,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
50070,1916,,,1916,,,19160000,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
55582,1882,,,1882,,,18820000,-5.350129,140.914065,Pitohui kirhocephalus ssp?,Passeriformes,Muscicapidae Pachycephalinae,Pitohui,kirhocephalus,0,0,0,0,specimen,0
156593,1920,,,1920,,,19200000,-5.350129,140.914065,Paradisaea apoda novaeguineae,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,apoda,0,0,0,0,specimen,0
33.9.1.1083,1898,,,1898,,,18980000,-5.350129,140.914065,Mino anais orientalis,Passeriformes,Sturnidae Sturninae,Mino,anais,0,0,0,0,specimen,0
44097,1879,,,1879,,,18790000,-5.350129,140.914065,Dacelo gaudichaud,Coraciiformes,Alcedinidae Daceloninae,Dacelo,gaudichaud,0,0,0,0,specimen,0
48063,1879,,,1879,,,18790000,-5.350129,140.914065,Pitta novaeguineae,Passeriformes,Pittidae,Pitta,novaeguineae,0,0,0,0,specimen,0
49909,1899,,,1899,,,18990000,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
50188,1895,,,1895,,,18950000,-5.350129,140.914065,Paradisaea rubra,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,rubra,0,0,0,0,specimen,0
01.10.4.220,,,,,,,,-5.350129,140.914065,Paradisaea raggiana raggiana,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
01.10.4.222,,,,,,,,-5.350129,140.914065,Diphyllodes magnificus ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
14.9.19.4,,,,,,,,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
20.11.3.53,,,,,,,,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
26.11.1.242,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
27133,,,,,,,,-5.350129,140.914065,Cicinnurus regius rex?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
27134,,,,,,,,-5.350129,140.914065,Diphyllodes magnificus hunsteini,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
27138,,,,,,,,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
32.8.29.238,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
32.8.29.239,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
32.8.29.93,,,,,,,,-5.350129,140.914065,Trichoglossus haematodus massena,Psittaciformes,Loriidae,Trichoglossus,haematodus,0,0,0,0,specimen,0
33.6.20.1082,,,,,,,,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
33.6.20.1087,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
33.9.1.1066,,,,,,,,-5.350129,140.914065,Colluricincla megarhyncha ssp?,Passeriformes,Muscicapidae Pachycephalinae,Colluricincla,megarhyncha,0,0,0,0,specimen,0
33.9.1.246,,,,,,,,-5.350129,140.914065,Henicophaps albifrons albifrons,Columbiformes,Columbidae,Henicophaps,albifrons,0,0,0,0,specimen,0
33.9.1.251,,,,,,,,-5.350129,140.914065,Goura scheepmakeri scheepmakeri,Columbiformes,Columbidae,Goura,scheepmakeri,0,0,0,0,specimen,0
33.9.1.253,,,,,,,,-5.350129,140.914065,Pseudeos fuscata,Psittaciformes,Loriidae,Pseudeos,fuscata,0,0,0,0,specimen,0
33.9.1.713,,,,,,,,-5.350129,140.914065,Chaetorhynchus papuensis,Passeriformes,Dicruridae,Chaetorhynchus,papuensis,0,0,0,0,specimen,0
33.9.1.752,,,,,,,,-5.350129,140.914065,Diphyllodes magnificus hunsteini,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
33.9.1.760,,,,,,,,-5.350129,140.914065,Sericulus aureus aureus,Passeriformes,Ptilonorhynchidae,Sericulus,aureus,0,0,0,0,specimen,0
33.9.1.985,,,,,,,,-5.350129,140.914065,Tregellasia leucops ssp?,Passeriformes,Muscicapidae Eopsaltriinae,Tregellasia,leucops,0,0,0,0,specimen,0
37614,,,,,,,,-5.350129,140.914065,Irediparra gallinacea novaeguineae,Charadriiformes,Jacanidae,Irediparra,gallinacea,0,0,0,0,specimen,0
40094,,,,,,,,-5.350129,140.914065,Ptilinopus iozonus humeralis,Columbiformes,Columbidae,Ptilinopus,iozonus,0,0,0,0,specimen,0
40161,,,,,,,,-5.350129,140.914065,Ducula myristicivora myristicivora,Columbiformes,Columbidae,Ducula,myristicivora,0,0,0,0,specimen,0
40618,,,,,,,,-5.350129,140.914065,Trugon terrestris mayri,Columbiformes,Columbidae,Trugon,terrestris,0,0,0,0,specimen,0
40697,,,,,,,,-5.350129,140.914065,Trichoglossus haematodus haematodus,Psittaciformes,Loriidae,Trichoglossus,haematodus,0,0,0,0,specimen,0
41076,,,,,,,,-5.350129,140.914065,Alisterus chloropterus chloropterus,Psittaciformes,Psittacidae Psittacinae,Alisterus,chloropterus,0,0,0,0,specimen,0
44277,,,,,,,,-5.350129,140.914065,Tanysiptera galatea minor,Coraciiformes,Alcedinidae Daceloninae,Tanysiptera,galatea,0,0,0,0,specimen,0
44291,,,,,,,,-5.350129,140.914065,Tanysiptera danae,Coraciiformes,Alcedinidae Daceloninae,Tanysiptera,danae,0,0,0,0,specimen,0
44292,,,,,,,,-5.350129,140.914065,Tanysiptera danae,Coraciiformes,Alcedinidae Daceloninae,Tanysiptera,danae,0,0,0,0,specimen,0
49390,,,,,,,,-5.350129,140.914065,Mino anais orientalis,Passeriformes,Sturnidae Sturninae,Mino,anais,0,0,0,0,specimen,0
49391,,,,,,,,-5.350129,140.914065,Mino anais orientalis,Passeriformes,Sturnidae Sturninae,Mino,anais,0,0,0,0,specimen,0
49556,,,,,,,,-5.350129,140.914065,Chaetorhynchus papuensis,Passeriformes,Dicruridae,Chaetorhynchus,papuensis,0,0,0,0,specimen,0
49557,,,,,,,,-5.350129,140.914065,Chaetorhynchus papuensis,Passeriformes,Dicruridae,Chaetorhynchus,papuensis,0,0,0,0,specimen,0
49637,,,,,,,,-5.350129,140.914065,Dicrurus hottentottus carbonarius,Passeriformes,Dicruridae,Dicrurus,hottentottus,0,0,0,0,specimen,0
49639,,,,,,,,-5.350129,140.914065,Dicrurus hottentottus carbonarius,Passeriformes,Dicruridae,Dicrurus,hottentottus,0,0,0,0,specimen,0
49642,,,,,,,,-5.350129,140.914065,Dicrurus hottentottus carbonarius,Passeriformes,Dicruridae,Dicrurus,hottentottus,0,0,0,0,specimen,0
49643,,,,,,,,-5.350129,140.914065,Dicrurus hottentottus carbonarius,Passeriformes,Dicruridae,Dicrurus,hottentottus,0,0,0,0,specimen,0
49810,,,,,,,,-5.350129,140.914065,Ailuroedus buccoides oorti?,Passeriformes,Ptilonorhynchidae,Ailuroedus,buccoides,0,0,0,0,specimen,0
49855,,,,,,,,-5.350129,140.914065,Cnemophilus macgregorii macgregorii,Passeriformes,Paradisaeidae Cnemophilinae,Cnemophilus,macgregorii,0,0,0,0,specimen,0
49862,,,,,,,,-5.350129,140.914065,Lycocorax pyrrhopterus morotensis,Passeriformes,Paradisaeidae Paradisaeinae,Lycocorax,pyrrhopterus,0,0,0,0,specimen,0
49864,,,,,,,,-5.350129,140.914065,Manucodia ater ater?,Passeriformes,Paradisaeidae Paradisaeinae,Manucodia,ater,0,0,0,0,specimen,0
49906,,,,,,,,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
49907,,,,,,,,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
49908,,,,,,,,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
49916,,,,,,,,-5.350129,140.914065,Ptiloris magnificus alberti,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
49935,,,,,,,,-5.350129,140.914065,Seleucidis melanoleuca melanoleuca,Passeriformes,Paradisaeidae Paradisaeinae,Seleucidis,melanoleuca,0,0,0,0,specimen,0
49957,,,,,,,,-5.350129,140.914065,Drepanornis albertisi ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Drepanornis,albertisi,0,0,0,0,specimen,0
49958,,,,,,,,-5.350129,140.914065,Drepanornis albertisi ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Drepanornis,albertisi,0,0,0,0,specimen,0
50000,,,,,,,,-5.350129,140.914065,Astrapia splendidissima splendidissima,Passeriformes,Paradisaeidae Paradisaeinae,Astrapia,splendidissima,0,0,0,0,specimen,0
50011,,,,,,,,-5.350129,140.914065,Lophorina superba ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
50029,,,,,,,,-5.350129,140.914065,Parotia sefilata,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,sefilata,0,0,0,0,specimen,0
50031,,,,,,,,-5.350129,140.914065,Parotia sefilata,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,sefilata,0,0,0,0,specimen,0
50044,,,,,,,,-5.350129,140.914065,Parotia lawesii ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
50050,,,,,,,,-5.350129,140.914065,Parotia lawesii helenae,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
50053,,,,,,,,-5.350129,140.914065,Pteridophora alberti alberti?,Passeriformes,Paradisaeidae Paradisaeinae,Pteridophora,alberti,0,0,0,0,specimen,0
50060,,,,,,,,-5.350129,140.914065,Cicinnurus regius regius,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
50064,,,,,,,,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
50076,,,,,,,,-5.350129,140.914065,Cicinnurus regius rex,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
50089,,,,,,,,-5.350129,140.914065,Cicinnurus regius coccineifrons,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
50094,,,,,,,,-5.350129,140.914065,Diphyllodes magnificus magnificus,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
50113,,,,,,,,-5.350129,140.914065,Diphyllodes respublica,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,respublica,0,0,0,0,specimen,0
50115,,,,,,,,-5.350129,140.914065,Diphyllodes respublica,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,respublica,0,0,0,0,specimen,0
50116,,,,,,,,-5.350129,140.914065,Diphyllodes respublica,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,respublica,0,0,0,0,specimen,0
50126,,,,,,,,-5.350129,140.914065,Paradisaea apoda novaeguineae,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,apoda,0,0,0,0,specimen,0
50131,,,,,,,,-5.350129,140.914065,Paradisaea raggiana raggiana,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
50132,,,,,,,,-5.350129,140.914065,Paradisaea raggiana raggiana,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
50134,,,,,,,,-5.350129,140.914065,Paradisaea raggiana raggiana,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
50135,,,,,,,,-5.350129,140.914065,Paradisaea raggiana raggiana,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
50136,,,,,,,,-5.350129,140.914065,Paradisaea raggiana raggiana,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
50157,,,,,,,,-5.350129,140.914065,Paradisaea minor jobiensis?,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,minor,0,0,0,0,specimen,0
50166,,,,,,,,-5.350129,140.914065,Paradisaea minor minor,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,minor,0,0,0,0,specimen,0
50168,,,,,,,,-5.350129,140.914065,Paradisaea minor minor,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,minor,0,0,0,0,specimen,0
50172,,,,,,,,-5.350129,140.914065,Paradisaea minor minor,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,minor,0,0,0,0,specimen,0
50192,,,,,,,,-5.350129,140.914065,Paradisaea rudolphi rudolphi,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,rudolphi,0,0,0,0,specimen,0
50193,,,,,,,,-5.350129,140.914065,Paradisaea rudolphi rudolphi,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,rudolphi,0,0,0,0,specimen,0
50196,,,,,,,,-5.350129,140.914065,Paradisaea rudolphi rudolphi,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,rudolphi,0,0,0,0,specimen,0
50200,,,,,,,,-5.350129,140.914065,Paradisaea apoda luptoni,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,apoda,0,0,0,0,specimen,0
50777,,,,,,,,-5.350129,140.914065,Coracina caeruleogrisea caeruleogrisea,Passeriformes,Campephagidae,Coracina,caeruleogrisea,0,0,0,0,specimen,0
50847,,,,,,,,-5.350129,140.914065,Coracina melaena melaena,Passeriformes,Campephagidae,Coracina,melaena,0,0,0,0,specimen,0
53620,,,,,,,,-5.350129,140.914065,Ptilorrhoa caerulescens ssp?,Passeriformes,Muscicapidae Orthonychinae,Ptilorrhoa,caerulescens,0,0,0,0,specimen,0
54862,,,,,,,,-5.350129,140.914065,Tregellasia leucops ssp?,Passeriformes,Muscicapidae Eopsaltriinae,Tregellasia,leucops,0,0,0,0,specimen,0
55173,0000-11-04,,,0,11,4,1104,-5.350129,140.914065,Myiagra alecto ssp?,Passeriformes,Muscicapidae Monarchinae,Myiagra,alecto,0,0,0,0,specimen,0
55254,,,,,,,,-5.350129,140.914065,Monarcha chrysomela melanonotus,Passeriformes,Muscicapidae Monarchinae,Monarcha,chrysomela,0,0,0,0,specimen,0
55302,,,,,,,,-5.350129,140.914065,Peltops blainvillii,Passeriformes,Muscicapidae Monarchinae,Peltops,blainvillii,0,0,0,0,specimen,0
55576,,,,,,,,-5.350129,140.914065,Colluricincla megarhyncha ssp?,Passeriformes,Muscicapidae Pachycephalinae,Colluricincla,megarhyncha,0,0,0,0,specimen,0
56115,,,,,,,,-5.350129,140.914065,Melanocharis nigra unicolor?,Passeriformes,Dicaeidae,Melanocharis,nigra,0,0,0,0,specimen,0
56116,,,,,,,,-5.350129,140.914065,Melanocharis nigra unicolor?,Passeriformes,Dicaeidae,Melanocharis,nigra,0,0,0,0,specimen,0
56119,,,,,,,,-5.350129,140.914065,Melanocharis nigra unicolor,Passeriformes,Dicaeidae,Melanocharis,nigra,0,0,0,0,specimen,0
56204,,,,,,,,-5.350129,140.914065,Oreocharis arfaki,Passeriformes,Dicaeidae,Oreocharis,arfaki,0,0,0,0,specimen,0
56745,,,,,,,,-5.350129,140.914065,Myzomela eques nymani?,Passeriformes,Meliphagidae,Myzomela,eques,0,0,0,0,specimen,0
56751,,,,,,,,-5.350129,140.914065,Myzomela nigrita meyeri?,Passeriformes,Meliphagidae,Myzomela,nigrita,0,0,0,0,specimen,0
56798,,,,,,,,-5.350129,140.914065,Myzomela rosenbergii rosenbergii,Passeriformes,Meliphagidae,Myzomela,rosenbergii,0,0,0,0,specimen,0
56912,,,,,,,,-5.350129,140.914065,Melidectes torquatus ssp?,Passeriformes,Meliphagidae,Melidectes,torquatus,0,0,0,0,specimen,0
56913,,,,,,,,-5.350129,140.914065,Melidectes torquatus ssp?,Passeriformes,Meliphagidae,Melidectes,torquatus,0,0,0,0,specimen,0
56920,,,,,,,,-5.350129,140.914065,Melipotes fumigatus ssp?,Passeriformes,Meliphagidae,Melipotes,fumigatus,0,0,0,0,specimen,0
65678,,,,,,,,-5.350129,140.914065,Astrapia splendidissima splendidissima,Passeriformes,Paradisaeidae Paradisaeinae,Astrapia,splendidissima,0,0,0,0,specimen,0
90.11.1.20,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
90.11.1.21,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
95173,,,,,,,,-5.350129,140.914065,Ptiloris magnificus magnificus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
95174,,,,,,,,-5.350129,140.914065,Parotia lawesii ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
00.10.16.26,,,,,,,,-5.350129,140.914065,Psittrichas fulgidus,Psittaciformes,Psittacidae Psittacinae,Psittrichas,fulgidus,0,0,0,0,specimen,0
00.10.16.39,,,,,,,,-5.350129,140.914065,Tanysiptera galatea meyeri,Coraciiformes,Alcedinidae Daceloninae,Tanysiptera,galatea,0,0,0,0,specimen,0
00.9.10.4a,,,,,,,,-5.350129,140.914065,Drepanornis albertisi cervinicauda?,Passeriformes,Paradisaeidae Paradisaeinae,Drepanornis,albertisi,0,0,0,0,specimen,0
00.9.10.6b,,,,,,,,-5.350129,140.914065,Epimachus meyeri meyeri,Passeriformes,Paradisaeidae Paradisaeinae,Epimachus,meyeri,0,0,0,0,specimen,0
01.10.4.212,,,,,,,,-5.350129,140.914065,Ceyx azureus ochrogaster,Coraciiformes,Alcedinidae Alcedininae,Ceyx,azureus,0,0,0,0,specimen,0
01.10.4.221,,,,,,,,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
14.9.19.2,,,,,,,,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
14.9.19.3,,,,,,,,-5.350129,140.914065,Diphyllodes magnificus magnificus,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
157447,,,,,,,,-5.350129,140.914065,Psittaculirostris edwardsii,Psittaciformes,Psittacidae Psittacinae,Psittaculirostris,edwardsii,0,0,0,0,specimen,0
26.11.1.243,,,,,,,,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
26.11.1.244,,,,,,,,-5.350129,140.914065,Lophorina superba ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
26.11.1.422,,,,,,,,-5.350129,140.914065,Drepanornis albertisi ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Drepanornis,albertisi,0,0,0,0,specimen,0
26.11.1.423,,,,,,,,-5.350129,140.914065,Epimachus fastuosus fastuosus,Passeriformes,Paradisaeidae Paradisaeinae,Epimachus,fastuosus,0,0,0,0,specimen,0
27132,,,,,,,,-5.350129,140.914065,Cicinnurus regius rex?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
27135,,,,,,,,-5.350129,140.914065,Parotia lawesii ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
27136,,,,,,,,-5.350129,140.914065,Parotia lawesii lawesii,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
27137,,,,,,,,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
32.8.29.34,,,,,,,,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
33.9.1.1018,,,,,,,,-5.350129,140.914065,Arses telescophthalmus ssp?,Passeriformes,Muscicapidae Monarchinae,Arses,telescophthalmus,0,0,0,0,specimen,0
33.9.1.1021,,,,,,,,-5.350129,140.914065,Peltops blainvillii,Passeriformes,Muscicapidae Monarchinae,Peltops,blainvillii,0,0,0,0,specimen,0
33.9.1.1064,,,,,,,,-5.350129,140.914065,Pitohui ferrugineus ssp?,Passeriformes,Muscicapidae Pachycephalinae,Pitohui,ferrugineus,0,0,0,0,specimen,0
33.9.1.1082,,,,,,,,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
33.9.1.22b,,,,,,,,-5.350129,140.914065,Ducula pinon rubiensis,Columbiformes,Columbidae,Ducula,pinon,0,0,0,0,specimen,0
33.9.1.259,,,,,,,,-5.350129,140.914065,Charmosyna placentis placentis,Psittaciformes,Loriidae,Charmosyna,placentis,0,0,0,0,specimen,0
33.9.1.279,,,,,,,,-5.350129,140.914065,Psittrichas fulgidus,Psittaciformes,Psittacidae Psittacinae,Psittrichas,fulgidus,0,0,0,0,specimen,0
33.9.1.436,,,,,,,,-5.350129,140.914065,Melidora macrorrhina macrorrhina,Coraciiformes,Alcedinidae Daceloninae,Melidora,macrorrhina,0,0,0,0,specimen,0
